Task,Area,Description,Due date,External Link,Owner,Priority,Status
Approve Conflict of Interest policy and collect annual disclosures,Governance,"Adopt policy, distribute disclosure form to all directors and officers, file signed forms.","October 7, 2025",https://www.notion.so/4c8979d99572421caeafbece202626a2,Jonathan Mallinger,High,Not started
Create Donation Acceptance and Gift Acknowledgment policy,Fundraising,Template receipt language with 501(c)(3) pending disclaimer until determination letter arrives.,"October 1, 2025",https://www.notion.so/50ac104af49b40528be388fda57eb65f,Jonathan Mallinger,Medium,Not started
Adopt Document Retention and Destruction policy,Compliance,"Define retention periods for board minutes, finance, HR, and program records.","September 20, 2025",https://www.notion.so/9491449c0211471b930b9393af752f7a,Jonathan Mallinger,Medium,Not started
Establish financial controls,Finance,"Define spending thresholds, dual‑signature rules, reimbursement process, and bookkeeping cadence. Document in Policy.","October 15, 2025",https://www.notion.so/1a626871ad794598a12e50fa0784d7b4,Jonathan Mallinger,High,Not started
Open nonprofit bank account,Finance,"Bring EIN letter, Articles, Bylaws, and board resolution authorizing signers.","September 25, 2025",,Jonathan Mallinger,Medium,Not started
Register with WA Charities Program (SOS),Compliance,File before fundraising to comply with state solicitation laws. Track renewal due date annually.,"September 22, 2025",https://www.notion.so/78a3c0836afb406e9ef16fbeb3e93388,Jonathan Mallinger,High,Not started
Review SPV and fiscal sponsorship agreements,Governance,"Confirm alignment with mission, independence, and compliance requirements.","October 20, 2025",,Jonathan Mallinger,Medium,Not started
Adopt and log final Bylaws,Governance,Circulate final draft to board. Vote to adopt. Upload signed copy to Document Inventory and record adoption in minutes.,"September 30, 2025",https://www.notion.so/424d1607a1804912ba3585a79027eb6a,Jonathan Mallinger,High,Not started
Set up IRS Form 990‑N/990‑EZ process,Compliance,"Decide filing type, calendar the deadline, and assign preparer.","October 5, 2025",,Jonathan Mallinger,Medium,Not started
Publish Transparency hub,Operations,"Public page linking Articles, Bylaws, board roster, key policies, and financial summaries.","October 10, 2025",https://www.notion.so/311b64cf005b43d58803802c13101382,Jonathan Mallinger,Medium,Not started
