Task Name,Due Date,Category,Priority,Responsible Party,Reminder 30 Days,Reminder 14 Days,Reminder 7 Days,Estimated Cost,Required Documents,Notes
Annual Conflict of Interest Disclosures,2026-01-15,Governance,High,Board Secretary,2025-12-16,2026-01-01,2026-01-08,$0,Disclosure forms from all board members,All board members must complete and sign
Donor Acknowledgment Letters (2025 Donations),2026-01-31,Financial,High,Treasurer,2026-01-01,2026-01-17,2026-01-24,$0,2025 donation records,Required within 30 days of year-end for tax deductibility
SPV Q4 2025 Quarterly Board Report,2026-01-05,SPV,Medium,SPV Manager,2025-12-06,2025-12-22,2025-12-29,$0,SPV financial statements; operational metrics,Submit to HROC Board
Q1 Board Meeting,2026-01-22,Governance,High,Board Chair,2025-12-23,2026-01-08,2026-01-15,$0,Financial reports; conflict disclosures; 2026 budget,Quorum required
Begin Form 990 Preparation,2026-02-15,Federal,Critical,Treasurer,2026-01-16,2026-02-01,2026-02-08,$0,All 2025 financial records; SPV financials; board roster,90 days before May 15 deadline
Monthly Financial Close,2026-02-05,Financial,Medium,Treasurer,2026-02-02,2026-02-02,2026-02-02,$0,Bank statements; receipts; donor records,Recurring monthly on 5th
Form 990 Draft Review (60-day alert),2026-03-15,Federal,Critical,Treasurer,2026-02-13,2026-03-01,2026-03-08,$0,Draft Form 990; supporting schedules,Finance Committee review; should be 75% complete
Q1 Board Meeting,2026-03-19,Governance,High,Board Chair,2026-02-17,2026-03-05,2026-03-12,$0,Q1 financial report; Form 990 draft; SPV report,Quorum required
SPV Quarterly Tasks (Q1),2026-03-31,SPV,Medium,SPV Manager,2026-03-01,2026-03-17,2026-03-24,$0,Asset inventory; driver list; insurance certificates,Update inventory and authorized drivers
Form 990 Final Review (30-day alert),2026-04-15,Federal,Critical,Treasurer,2026-03-16,2026-04-01,2026-04-08,$0,Completed Form 990; all schedules,Board approval required before filing
SPV Q1 2026 Quarterly Board Report,2026-04-05,SPV,Medium,SPV Manager,2026-03-06,2026-03-22,2026-03-29,$0,Q1 SPV financials; operational metrics,Submit to HROC Board
WA Charitable Registration Renewal Prep,2026-04-15,State,Critical,Treasurer,2026-03-16,2026-04-01,2026-04-08,$10-250,Form 990; financial statements; board roster,30-day alert for May 15 deadline
Form 990 Final Alert (7-day),2026-05-08,Federal,Critical,Treasurer,2026-04-08,2026-04-24,2026-05-01,$0,Final Form 990; e-filing credentials,File or submit extension (Form 8868) by May 15
FORM 990 DUE - CRITICAL DEADLINE,2026-05-15,Federal,Critical,Treasurer,2026-04-15,2026-05-01,2026-05-08,$0-2500,Completed Form 990; board approval minutes,File electronically or by mail; extension available
WA Charitable Organization Renewal DUE,2026-05-15,State,Critical,Treasurer,2026-04-15,2026-05-01,2026-05-08,$10-250,Form 990; financial statements; board roster,Automatic 6.5-month extension available but file on time
Q2 Board Meeting,2026-05-21,Governance,High,Board Chair,2026-04-21,2026-05-07,2026-05-14,$0,Q2 financial report; Form 990 filing confirmation,Confirm compliance filings completed
Verify Form 990 Public Posting,2026-06-14,Federal,High,Website Administrator,2026-05-15,2026-05-31,2026-06-07,$0,Filed Form 990; Form 1023; Determination Letter,Must post on website within 30 days of filing
Q2 Board Meeting (End of Quarter),2026-06-18,Governance,High,Board Chair,2026-05-19,2026-06-04,2026-06-11,$0,Q2 financial report; SPV Q2 report; mid-year review,Quorum required
SPV Quarterly Tasks (Q2),2026-06-30,SPV,Medium,SPV Manager,2026-05-31,2026-06-16,2026-06-23,$0,Asset inventory; driver list; insurance policies,Review insurance pre-July renewal
Prepare for July Annual Reports,2026-07-01,State,High,Board Secretary,2026-06-01,2026-06-17,2026-06-24,$0,Registered agent info; board roster; addresses,30-day prep for July 31 deadline
Annual Policy Review,2026-07-15,Governance,High,Board Chair,2026-06-15,2026-07-01,2026-07-08,$0,All current policies (Bylaws; COI; Financial; Gift; Doc Retention),Board must vote to readopt or amend
SPV Q2 2026 Quarterly Board Report,2026-07-05,SPV,Medium,SPV Manager,2026-06-05,2026-06-21,2026-06-28,$0,Q2 SPV financials; operational metrics,Submit to HROC Board
FILE WA ANNUAL REPORT - HROC,2026-07-31,State,Critical,Board Secretary,2026-07-01,2026-07-17,2026-07-24,$10,EIN; registered agent; board roster; addresses,File online at ccfs.sos.wa.gov
FILE WA ANNUAL REPORT - SPV LLC,2026-07-31,State,Critical,SPV Manager,2026-07-01,2026-07-17,2026-07-24,$69,Business addresses; registered agent; management structure,File online at ccfs.sos.wa.gov
Annual SPV Performance Review,2026-07-22,SPV,High,HROC Board,2026-06-22,2026-07-08,2026-07-15,$0,SPV financial reports; compliance checklist; operational data,Board vote on SPV continuation
Review SPV Agreements,2026-07-22,SPV,Medium,Board Chair,2026-06-22,2026-07-08,2026-07-15,$200-500,Operating Agreement; Inter-Entity Agreement,Attorney review if amendments needed
Whistleblower Policy Review,2026-08-15,Governance,Medium,Board Chair,2026-07-16,2026-08-01,2026-08-08,$0,Current Whistleblower Protection Policy,Board vote to readopt
Conflict of Interest Policy Review,2026-08-15,Governance,Medium,Board Chair,2026-07-16,2026-08-01,2026-08-08,$0,Current Conflict of Interest Policy,Board vote to readopt; IRS Form 990 requires
